dataset_key,imbalance_ratio,training_size,seed,method,generated_count,real_minority_count,real_majority_count,roc_auc,pr_auc,balanced_accuracy,f1,brier,n_samples,n_features,n_numeric_features,n_categorical_features,original_imbalance_ratio,minority_size,preprocessed_dim,missingness_rate,baseline_roc_auc
adult,3.0,2048,0,real_balanced,0,1536,1536,0.9083708068460833,0.7845795403304034,0.8242171425769949,0.6866892602547622,0.12635183508316924,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,3.0,2048,0,direct_smote,1024,512,1536,0.8946167768580958,0.7613076757668703,0.7960842454343093,0.6809732094040459,0.11393639946685516,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,3.0,2048,0,direct_displacement,1024,512,1536,0.8952770145129463,0.7642722655464113,0.799417098402508,0.6806129247168554,0.11533546170018874,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,3.0,2048,0,latent_smote,1024,512,1536,0.8984192524205002,0.7716336178343837,0.7798073005708959,0.6742514970059881,0.10616752804980803,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,3.0,2048,0,latent_displacement,1024,512,1536,0.8936011270021107,0.7581352902248447,0.7706064744588612,0.6610322970117718,0.1088800946770902,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,3.0,4096,0,real_balanced,0,3072,3072,0.9169027466838302,0.8037063510984075,0.8293982925168818,0.690522913540344,0.1211389240713203,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,3.0,4096,0,direct_smote,2048,1024,3072,0.9022249264368388,0.7758877539423261,0.8038679005773133,0.6831501831501832,0.11228026461065153,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,3.0,4096,0,direct_displacement,2048,1024,3072,0.9031439957778362,0.7773582908785677,0.8126970791360448,0.6888156226223687,0.11398744911875994,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,3.0,4096,0,latent_smote,2048,1024,3072,0.9066227238330518,0.789340925933067,0.7916671037887043,0.688755314470019,0.1008572544237898,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,3.0,4096,0,latent_displacement,2048,1024,3072,0.9067178330592301,0.7867454404757401,0.7862099656557693,0.6847549093089492,0.10051691215167453,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,256,0,real_balanced,0,215,215,0.8778787172879403,0.7071088988764563,0.788444175285306,0.6426644775419257,0.15486843173265724,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,256,0,direct_smote,172,43,215,0.8652772949533875,0.6913764707265759,0.7427472498285757,0.6130697743029946,0.14207979408428495,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,256,0,direct_displacement,172,43,215,0.8637642343354184,0.690814114055011,0.7494670480179028,0.616811920157436,0.14614424125991954,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,256,0,latent_smote,172,43,215,0.8714063898763866,0.7100532392876002,0.7119227641438064,0.5769750168804861,0.13191601167340167,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,256,0,latent_displacement,172,43,215,0.857971463240476,0.6444683956567648,0.7066067673860663,0.5641776476329917,0.13857776429961804,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,512,0,real_balanced,0,425,425,0.8807675608810354,0.7245708380320489,0.7918816432847744,0.6423357664233577,0.15264565648894587,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
