dataset_key,imbalance_ratio,method,training_size,metric,method_score,real_equivalent_size,real_equivalent_fraction
bank_marketing,10.0,direct_displacement,4096,roc_auc,0.911385132783645,907.6395369670877,0.2215916838298554
bank_marketing,10.0,direct_smote,4096,roc_auc,0.9082785483771432,791.0239148039839,0.19312107295019137
bank_marketing,10.0,latent_displacement,4096,roc_auc,0.9103227757633974,867.7605545656344,0.21185560414200058
bank_marketing,10.0,latent_smote,4096,roc_auc,0.9065308697372547,725.419184571897,0.17710429310837328
default_credit,2.0,direct_displacement,512,roc_auc,0.71845787496151,400.7387460470293,0.7826928633731041
default_credit,2.0,direct_smote,512,roc_auc,0.7153008842258418,357.46003205739504,0.6981641251120997
default_credit,2.0,latent_displacement,512,roc_auc,0.7170750722379686,381.7821102545683,0.7456681840909537
default_credit,2.0,latent_smote,512,roc_auc,0.7164633524565782,373.3961352304783,0.729289326622028
default_credit,2.0,direct_displacement,1024,roc_auc,0.7318307831095259,683.0210590948287,0.6670127530222937
default_credit,2.0,direct_smote,1024,roc_auc,0.7284539379984937,573.1630586945956,0.559729549506441
default_credit,2.0,latent_displacement,1024,roc_auc,0.7284414119494352,572.755552084956,0.5593315938329648
default_credit,2.0,latent_smote,1024,roc_auc,0.7310202409630612,656.6519078536851,0.6412616287633643
default_credit,2.0,direct_displacement,2048,roc_auc,0.7406256496365188,969.1421036419529,0.4732139177939223
default_credit,2.0,direct_smote,2048,roc_auc,0.7379405176052976,881.7874201840514,0.43056026376174383
default_credit,2.0,latent_displacement,2048,roc_auc,0.737079584625321,853.7789174103099,0.41688423701675287
default_credit,2.0,latent_smote,2048,roc_auc,0.7366943835360134,841.2472732181984,0.41076527012607345
default_credit,2.0,direct_displacement,4096,roc_auc,0.7563915562677218,2696.5199532803763,0.6583300667188419
default_credit,2.0,direct_smote,4096,roc_auc,0.7542702720094614,2427.3822338493474,0.5926226156858758
default_credit,2.0,latent_displacement,4096,roc_auc,0.7523887060899457,2188.6587536907355,0.5343405160377772
default_credit,2.0,latent_smote,4096,roc_auc,0.7522112131213374,2166.139351776424,0.528842615179791
default_credit,3.0,direct_displacement,512,roc_auc,0.7136117414941642,284.7540372593091,0.5561602290220881
default_credit,3.0,direct_displacement,1024,roc_auc,0.7197778790403585,410.02622675984753,0.4004162370701636
default_credit,3.0,direct_smote,1024,roc_auc,0.7158847607786186,330.9330432265532,0.32317680002593085
default_credit,3.0,latent_smote,1024,roc_auc,0.7130570123696167,273.48407587892,0.2670742928505078
default_credit,3.0,direct_displacement,2048,roc_auc,0.7331884584926648,775.453885003788,0.37863959228700583
default_credit,3.0,direct_smote,2048,roc_auc,0.7317716462560621,730.971195251079,0.35691952893119094
default_credit,3.0,latent_displacement,2048,roc_auc,0.7294202065952515,657.144644207972,0.3208714083046738
default_credit,3.0,latent_smote,2048,roc_auc,0.7271462736544727,585.7515189158928,0.2860114838456508
default_credit,3.0,direct_displacement,4096,roc_auc,0.7496582889517309,1646.5946080035674,0.40200063671962094
default_credit,3.0,direct_smote,4096,roc_auc,0.7455065737035091,1344.3955852408417,0.32822157842793986
default_credit,3.0,latent_displacement,4096,roc_auc,0.7426178933750888,1134.1315569704911,0.2768875871509988
default_credit,3.0,latent_smote,4096,roc_auc,0.7422751790963458,1109.1857420648748,0.27079730030880733
default_credit,5.0,direct_displacement,2048,roc_auc,0.7215964277542565,320.08764670917105,0.15629279624471243
default_credit,5.0,direct_smote,2048,roc_auc,0.7213766020426202,315.5111458175503,0.15405817666872573
default_credit,5.0,direct_displacement,4096,roc_auc,0.7395128986416905,843.5925650652844,0.2059552160803917
default_credit,5.0,direct_smote,4096,roc_auc,0.7344946645695328,652.288316340607,0.1592500772315935
default_credit,5.0,latent_displacement,4096,roc_auc,0.724101702059324,372.2443758085759,0.0908799745626406
default_credit,5.0,latent_smote,4096,roc_auc,0.725413074773132,399.5455424888413,0.09754529845918977
