dataset_key,imbalance_ratio,segment,left_method,right_method,mean_delta,ci_low,ci_high,n,indistinguishable
default_credit,2.0,mid,latent_displacement,direct_displacement,-0.003107174371034782,-0.005301193107367076,-0.0011810671682627777,10,True
default_credit,2.0,mid,direct_smote,real_balanced,-0.013254324514531401,-0.015489518666022583,-0.010981922933411516,10,False
default_credit,2.0,mid,direct_displacement,real_balanced,-0.010144692825996792,-0.012436468847770903,-0.007745775895104297,10,False
default_credit,2.0,mid,latent_smote,real_balanced,-0.012192806350219566,-0.014947644581455435,-0.009296127139827862,10,False
default_credit,2.0,mid,latent_displacement,real_balanced,-0.013251867197031576,-0.01573770956977004,-0.010890414922866937,10,False
default_credit,3.0,early,latent_displacement,latent_smote,0.004388137258267177,0.001098472741045727,0.008043873499014993,10,True
default_credit,3.0,early,direct_displacement,direct_smote,0.006940615348609336,0.004894017881794967,0.009518849097225135,10,True
default_credit,3.0,early,latent_smote,direct_smote,-0.004759923722953885,-0.007999089066729788,-0.0015673302188282249,10,True
default_credit,3.0,early,latent_displacement,direct_displacement,-0.007312401813296043,-0.010510794571792173,-0.00470053126965474,10,True
default_credit,3.0,early,direct_smote,real_balanced,-0.019201116466530575,-0.024054595730724108,-0.015184161047441407,10,False
default_credit,3.0,early,direct_displacement,real_balanced,-0.01226050111792124,-0.017506759354891318,-0.00821303857980118,10,False
default_credit,3.0,early,latent_smote,real_balanced,-0.023961040189484462,-0.027246457100539273,-0.020920135043420926,10,False
default_credit,3.0,early,latent_displacement,real_balanced,-0.019572902931217284,-0.02382009795255707,-0.01549579690322817,10,False
default_credit,3.0,full,latent_displacement,latent_smote,0.0012764223138808984,0.00016005943555344156,0.0024150015638452135,10,True
default_credit,3.0,full,direct_displacement,direct_smote,0.0032793873615461376,0.0022010127934099176,0.004194359745119257,10,True
default_credit,3.0,full,latent_smote,direct_smote,-0.0036122469312314665,-0.004815507707353957,-0.002372027729672486,10,True
default_credit,3.0,full,latent_displacement,direct_displacement,-0.005615211978896706,-0.007167497628136263,-0.004002491827433794,10,True
default_credit,3.0,full,direct_smote,real_balanced,-0.02293260068367291,-0.02407691041894739,-0.02193758320094871,10,False
default_credit,3.0,full,direct_displacement,real_balanced,-0.019653213322126772,-0.02059030809315335,-0.01871505730643561,10,False
default_credit,3.0,full,latent_smote,real_balanced,-0.026544847614904377,-0.02768586480150834,-0.02546130778628436,10,False
default_credit,3.0,full,latent_displacement,real_balanced,-0.025268425301023478,-0.02664399082741595,-0.02390839576591836,10,False
default_credit,3.0,mid,latent_displacement,latent_smote,0.0007152680953098178,-0.000715987763884581,0.002331985648453624,10,True
default_credit,3.0,mid,direct_displacement,direct_smote,0.0033293475225474435,0.00211981113672773,0.004659785511832791,10,True
default_credit,3.0,mid,latent_smote,direct_smote,-0.0029994519017511267,-0.004517329650928003,-0.001516844167995524,10,True
